name,type,port,proto,ttl,service,prio,value
default._domainkey.anita,TXT,NA,NA,14400,NA,NA,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC0H7zPqWtM0tANGzCyvkY60gjnno7sGFwsltocJuMmwGbIsE8VSY98O3+PrHz2h1PHt51ajsXbTx25UwUNbujlPiVlh+ai9PMLZPOqlSHD5OV395CTAegChi8IQOEiPib2iFNkP0rgKMNlA6du5Fyn9jw4BETwsbQmIDRkEfiSfwIDAQAB
www.anita,A,NA,NA,86400,NA,NA,34.90.154.249
autoconfig,A,NA,NA,86400,NA,NA,34.90.154.249
autodiscover,A,NA,NA,86400,NA,NA,34.90.154.249
dev,TXT,NA,NA,14400,NA,NA,v=spf1 +a +mx +ip4:35.204.243.180 include:_spf.mailspamprotection.com ~all
dev,A,NA,NA,86400,NA,NA,34.90.154.249
www.dev,A,NA,NA,86400,NA,NA,34.90.154.249
ftp,A,NA,NA,86400,NA,NA,34.90.154.249
gittesting,TXT,NA,NA,14400,NA,NA,v=spf1 +a +mx +ip4:35.204.243.180 include:_spf.mailspamprotection.com ~all
test,A,NA,NA,86400,NA,NA,34.90.154.249
default._domainkey.test,TXT,NA,NA,14400,NA,NA,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDEZ2dyyi25F26z4PVdbm8atdM7EVUJieWe+7IgVjXmNTB3wkQjLfEuv+J4yz5FCngxjFhsR3t
staging57.test,TXT,NA,NA,14400,NA,NA,v=spf1 +a +mx +ip4:35.204.243.180 include:_spf.mailspamprotection.com ~all
staging57.test,A,NA,NA,86400,NA,NA,34.90.154.249
default._domainkey.staging57.test,TXT,NA,NA,14400,NA,NA,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQClrT
www.staging57.test,A,NA,NA,86400,NA,NA,34.90.154.249
www.test,A,NA,NA,86400,NA,NA,34.90.154.249
NA,NS,NA,NA,86400,NA,NA,ns1.siteground.net
NA,NS,NA,NA,86400,NA,NA,ns2.siteground.net
NA,TXT,NA,NA,86400,NA,NA,4966183a-7e29-4ea3-9bac-2630a4c5621c
2pvbytloeq3esp3lnkoihum7gl2kbfid._domainkey.sportcentre.info,CNAME,NA,NA,86400,NA,NA,2pvbytloeq3esp3lnkoihum7gl2kbfid.dkim.amazonses.com
kiuitafgohi4llacacwwbzmimoxt67vm._domainkey.sportcentre.info,CNAME,NA,NA,86400,NA,NA,kiuitafgohi4llacacwwbzmimoxt67vm.dkim.amazonses.com
in2uumbcjazoyqsshbwje4edqvqa2df7._domainkey.sportcentre.info,CNAME,NA,NA,86400,NA,NA,in2uumbcjazoyqsshbwje4edqvqa2df7.dkim.amazonses.com
mailmarketing._domainkey,TXT,NA,NA,300,NA,NA,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyJNORmRh8w2b8Fmp8gzqknd7tjTUHu5wQMwdXOYFdX2VGAq44eSurGrxXzuwBLWJL7FXwSjLzPlc
NA,TXT,NA,NA,14400,NA,NA,v=spf1 +ip4:35.204.243.180 +a  include:amazonses.com +mx include:_ddf91e922000bb01d7d8d553b89e23d0.spf.dnssmarthost.net ~all
nba,TXT,NA,NA,14400,NA,NA,v=spf1 +a +mx include:_ddf91e922000bb01d7d8d553b89e23d0.spf.dnssmarthost.net  ~all
default._domainkey.nba,TXT,NA,NA,14400,NA,NA,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCX7HuPBDciOKayRN4b2Bs0nTVUsPqFG4r3sZ9ymXKV8XHqcyPrI+vB3DNZ2rkG3j6vQfhk1jh2wKazBg0O
nba,A,NA,NA,86400,NA,NA,51.20.40.159
www.nba,A,NA,NA,86400,NA,NA,51.20.40.159
NA,SOA,NA,NA,14400,NA,NA,ns1.siteground.net
default._domainkey,CNAME,NA,NA,14400,NA,NA,default._domainkey_ddf91e922000bb01d7d8d553b89e23d0.dkim.dnssmarthost.net
